,model_name,EEG_Eye_State_entropic_expressivity,EEG_Eye_State_algorithmic_capacity,EEG_Eye_State_algorithmic_bias_size_1,EEG_Eye_State_algorithmic_bias_size_2,EEG_Eye_State_algorithmic_bias_size_3,EEG_Eye_State_algorithmic_bias_size_4,EEG_Eye_State_algorithmic_bias_size_5,SemiRandom_entropic_expressivity,SemiRandom_algorithmic_capacity,SemiRandom_algorithmic_bias_size_1,SemiRandom_algorithmic_bias_size_2,SemiRandom_algorithmic_bias_size_3,SemiRandom_algorithmic_bias_size_4,SemiRandom_algorithmic_bias_size_5,Shopper_Intention_entropic_expressivity,Shopper_Intention_algorithmic_capacity,Shopper_Intention_algorithmic_bias_size_1,Shopper_Intention_algorithmic_bias_size_2,Shopper_Intention_algorithmic_bias_size_3,Shopper_Intention_algorithmic_bias_size_4,Shopper_Intention_algorithmic_bias_size_5,Abalone_entropic_expressivity,Abalone_algorithmic_capacity,Abalone_algorithmic_bias_size_1,Abalone_algorithmic_bias_size_2,Abalone_algorithmic_bias_size_3,Abalone_algorithmic_bias_size_4,Abalone_algorithmic_bias_size_5,Bank_Marketing_entropic_expressivity,Bank_Marketing_algorithmic_capacity,Bank_Marketing_algorithmic_bias_size_1,Bank_Marketing_algorithmic_bias_size_2,Bank_Marketing_algorithmic_bias_size_3,Bank_Marketing_algorithmic_bias_size_4,Bank_Marketing_algorithmic_bias_size_5,Car_Evaluation_entropic_expressivity,Car_Evaluation_algorithmic_capacity,Car_Evaluation_algorithmic_bias_size_1,Car_Evaluation_algorithmic_bias_size_2,Car_Evaluation_algorithmic_bias_size_3,Car_Evaluation_algorithmic_bias_size_4,Car_Evaluation_algorithmic_bias_size_5,Letter_Recognition_entropic_expressivity,Letter_Recognition_algorithmic_capacity,Letter_Recognition_algorithmic_bias_size_1,Letter_Recognition_algorithmic_bias_size_2,Letter_Recognition_algorithmic_bias_size_3,Letter_Recognition_algorithmic_bias_size_4,Letter_Recognition_algorithmic_bias_size_5,Obesity_entropic_expressivity,Obesity_algorithmic_capacity,Obesity_algorithmic_bias_size_1,Obesity_algorithmic_bias_size_2,Obesity_algorithmic_bias_size_3,Obesity_algorithmic_bias_size_4,Obesity_algorithmic_bias_size_5,Spam_entropic_expressivity,Spam_algorithmic_capacity,Spam_algorithmic_bias_size_1,Spam_algorithmic_bias_size_2,Spam_algorithmic_bias_size_3,Spam_algorithmic_bias_size_4,Spam_algorithmic_bias_size_5,Wine_Quality_entropic_expressivity,Wine_Quality_algorithmic_capacity,Wine_Quality_algorithmic_bias_size_1,Wine_Quality_algorithmic_bias_size_2,Wine_Quality_algorithmic_bias_size_3,Wine_Quality_algorithmic_bias_size_4,Wine_Quality_algorithmic_bias_size_5
0,model_102_Decision_Tree_max_depth_6,2.965326784055915,2.916194727636659,0.03027000000000002,0.16406000000000004,0.36438000000000004,0.38666,0.16385,4.5479602501932215,4.332761813613551,0.003230000000000015,-0.001559999999999977,-0.00465999999999999,-1.9999999999995993e-05,0.00221,1.065320381386934,0.9938434172561439,0.03125,0.18646000000000001,0.47824,0.67728,0.47798999999999997,2.724330996953146,2.559658309344162,0.03035,0.17006,0.3749,0.39034,0.16771,1.9086134537104622,1.8522216420346167,0.030250000000000006,0.1739,0.41028000000000003,0.49938,0.24685,0.9201826392801631,0.8282417314852827,0.03125,0.18726,0.49826,0.78884,0.70745,0.5730907118713574,0.4878597830339351,0.031249999999999997,0.1875,0.49964,0.80274,0.83791,0.6135833685153568,0.5358148063049291,0.03125,0.1875,0.49974,0.798,0.80121,1.4065579014089673,1.2650422437969602,0.03123,0.18712,0.4925,0.71582,0.45947,0.5248510965382571,0.453843001060719,0.03125,0.1875,0.5,0.80442,0.78253
1,model_102_Decision_Tree_max_depth_6,2.965326784055915,2.916194727636659,0.03027000000000002,0.16406000000000004,0.36438000000000004,0.38666,0.16385,4.5479602501932215,4.332761813613551,0.003230000000000015,-0.001559999999999977,-0.00465999999999999,-1.9999999999995993e-05,0.00221,1.065320381386934,0.9938434172561439,0.03125,0.18646000000000001,0.47824,0.67728,0.47798999999999997,2.724330996953146,2.559658309344162,0.03035,0.17006,0.3749,0.39034,0.16771,1.9086134537104622,1.8522216420346167,0.030250000000000006,0.1739,0.41028000000000003,0.49938,0.24685,0.9201826392801631,0.8282417314852827,0.03125,0.18726,0.49826,0.78884,0.70745,0.5730907118713574,0.4878597830339351,0.031249999999999997,0.1875,0.49964,0.80274,0.83791,0.6135833685153568,0.5358148063049291,0.03125,0.1875,0.49974,0.798,0.80121,1.4065579014089673,1.2650422437969602,0.03123,0.18712,0.4925,0.71582,0.45947,0.5248510965382571,0.453843001060719,0.03125,0.1875,0.5,0.80442,0.78253
2,model_102_Decision_Tree_max_depth_11,3.22846044599885,2.884385539478068,0.030570000000000014,0.17302000000000003,0.39458000000000004,0.44262,0.19731,4.69187769934901,4.15323894982376,0.00117000000000001,-0.0015399999999999759,-0.003279999999999993,-0.004620000000000001,-0.0018100000000000002,1.4534950132384268,1.2302439426980984,0.031170000000000003,0.1858,0.4736,0.66176,0.44217,3.073866206899088,2.606677392132964,0.02893000000000001,0.16510000000000002,0.35664,0.35768,0.14283,2.559820781437639,2.2772937559797426,0.030850000000000006,0.17354,0.4073,0.4784,0.23291,0.8876583802035131,0.7918633065766577,0.031249999999999997,0.18738,0.49834,0.79054,0.7128099999999999,0.5762633970949906,0.4809142602895815,0.031249999999999997,0.1875,0.49982,0.80278,0.83579,0.603638115990315,0.5218825810921472,0.03125,0.1875,0.49962,0.79816,0.80381,1.671927365546065,1.4361589792516165,0.03125,0.1867,0.48736,0.6972,0.45405,0.5487980500597698,0.46738134216108285,0.03125,0.1875,0.5,0.80368,0.78155
3,model_102_Decision_Tree_max_depth_16,3.3489745821576204,2.8445960214211228,0.03061000000000001,0.17092000000000002,0.39176,0.43360000000000004,0.19381,4.691203937553016,4.060348617710211,0.0005100000000000171,-0.003939999999999971,-0.001759999999999987,-0.0008200000000000012,0.0008899999999999997,1.6567985497526545,1.3803539460137864,0.031070000000000007,0.18496,0.47200000000000003,0.64666,0.41807,3.0871590901176953,2.58413475033466,0.02919000000000001,0.16438000000000003,0.35400000000000004,0.35496,0.14041,2.798310950974973,2.379523168681816,0.030490000000000003,0.17132,0.39668000000000003,0.45778,0.21567,0.8826751219860313,0.7842973651699203,0.03125,0.1874,0.49832,0.79014,0.71339,0.5807163050914091,0.4872969471894665,0.031249999999999997,0.1875,0.4998,0.80278,0.83483,0.610602626469655,0.5365981320064129,0.03125,0.1875,0.49968,0.79792,0.80215,1.8231379378257422,1.5534197760506072,0.03125000000000002,0.18660000000000002,0.48398,0.6846000000000001,0.44103,0.5479787646228451,0.46300597821458134,0.03125,0.1875,0.5,0.80318,0.78223
4,model_102_Decision_Tree_max_depth_21,3.3635538971389836,2.8461915865270924,0.03055000000000001,0.17088,0.39334,0.43214,0.19417,4.699790116505451,4.049709758349815,0.0008700000000000063,-0.0035999999999999765,-0.0037199999999999876,-0.005799999999999995,-0.0002499999999999999,1.7068665890992751,1.4180227428356575,0.031110000000000006,0.18510000000000001,0.47022,0.64408,0.41255000000000003,3.085957165482691,2.5827108014842755,0.02903000000000001,0.16410000000000002,0.35316000000000003,0.35404,0.14003,2.8176893584733174,2.37973903768523,0.03037,0.1723,0.39614,0.45798,0.21533,0.8852849748598073,0.7831965019987643,0.03125,0.18738,0.49846,0.7907,0.71553,0.5697566304542554,0.47926605919282655,0.031249999999999997,0.1875,0.49988,0.80292,0.83667,0.5932537903343501,0.5153969735169468,0.03125,0.1875,0.4996,0.79778,0.8053899999999999,1.8495821019065548,1.5700783467782125,0.03125000000000002,0.18662000000000004,0.48392,0.6806800000000001,0.43639,0.5482094977798898,0.46677267835815117,0.03125,0.1875,0.5,0.80304,0.78219
5,model_102_Decision_Tree_max_depth_26,3.370800262411899,2.8474603900076727,0.030510000000000023,0.17018000000000003,0.39148000000000005,0.43202,0.19367,4.696760381439858,4.047484910146347,0.0009300000000000131,-0.004039999999999972,-0.006399999999999986,-0.0037399999999999985,-0.0003300000000000002,1.705728858446107,1.415287428692847,0.031030000000000005,0.18498,0.4703,0.6429,0.41199,3.0762452857363227,2.579516525838779,0.02921000000000001,0.16426000000000002,0.35528000000000004,0.35496,0.13919,2.819202582507628,2.3832338834313282,0.030410000000000003,0.17182,0.39478,0.4565,0.21569,0.8774929264671846,0.7784783809747278,0.03125,0.18736,0.4984,0.79102,0.71701,0.5829335322179842,0.4891869388632698,0.031249999999999997,0.1875,0.49985999999999997,0.802,0.83331,0.6014854942090322,0.5208463428940097,0.03125,0.1875,0.49974,0.79834,0.80445,1.8579653142992392,1.5788200912759707,0.031250000000000014,0.18656000000000003,0.48376,0.68066,0.43631,0.5387951263355829,0.459364397566879,0.03125,0.1875,0.5,0.80366,0.7841899999999999
6,model_102_Decision_Tree_max_depth_31,3.3645078656181364,2.8444331224238364,0.030550000000000015,0.17030000000000003,0.39312,0.43272000000000005,0.19449,4.694848224663832,4.05857096001405,-9.999999999985576e-06,-0.0051199999999999805,-0.005359999999999982,-0.003139999999999997,0.00045000000000000026,1.705749920535611,1.419241705350379,0.03109000000000001,0.18534,0.47040000000000004,0.64308,0.41373,3.07771839290784,2.5846615296453006,0.029090000000000008,0.16352000000000003,0.35434000000000004,0.3551,0.14027,2.8196858356874475,2.3808796197464117,0.03027,0.17146,0.39512,0.45646000000000003,0.21451,0.8860541526724148,0.7934546960309172,0.03125000000000001,0.18736,0.49832,0.79026,0.71341,0.580140168129947,0.4922226024981974,0.031249999999999997,0.1875,0.49988,0.80276,0.83571,0.5944069041319463,0.5164245428028008,0.03125,0.1875,0.49978,0.7984,0.80605,1.8578640876502064,1.5717905355967765,0.03125000000000001,0.18656,0.48340000000000005,0.68072,0.43729,0.544283615267922,0.4650248703556313,0.03125,0.1875,0.5,0.80346,0.78329
7,model_102_Decision_Tree_max_depth_36,3.3670724807633445,2.8468922891777955,0.03063000000000002,0.17130000000000004,0.39118,0.43302,0.19345,4.700359368960468,4.059477967348986,0.0006300000000000072,-0.0032799999999999774,-0.002859999999999988,-0.0019399999999999975,-0.00045000000000000004,1.7117565274724218,1.4173261687210252,0.031010000000000003,0.18486,0.4702,0.64336,0.41001,3.083087055482325,2.5892408351216094,0.029290000000000004,0.16394,0.35474,0.35626,0.14169,2.821229408479718,2.387457718536259,0.030390000000000014,0.17126000000000002,0.39312,0.45618000000000003,0.21391,0.8762619845142957,0.7811561564331109,0.03125,0.18736,0.4983,0.79082,0.71655,0.590776102588183,0.4973806828887535,0.031249999999999997,0.1875,0.49982,0.80266,0.83353,0.5983299849631148,0.5209253481569767,0.03125,0.1875,0.49976,0.79812,0.80393,1.8439456179875509,1.561026006086204,0.03125000000000001,0.1864,0.48426,0.68196,0.43693,0.5441379995098311,0.4637637081215016,0.03125,0.1875,0.5,0.80394,0.78401
8,model_102_Decision_Tree_max_depth_36,3.3670724807633445,2.8468922891777955,0.03063000000000002,0.17130000000000004,0.39118,0.43302,0.19345,4.700359368960468,4.059477967348986,0.0006300000000000072,-0.0032799999999999774,-0.002859999999999988,-0.0019399999999999975,-0.00045000000000000004,1.7117565274724218,1.4173261687210252,0.031010000000000003,0.18486,0.4702,0.64336,0.41001,3.083087055482325,2.5892408351216094,0.029290000000000004,0.16394,0.35474,0.35626,0.14169,2.821229408479718,2.387457718536259,0.030390000000000014,0.17126000000000002,0.39312,0.45618000000000003,0.21391,0.8762619845142957,0.7811561564331109,0.03125,0.18736,0.4983,0.79082,0.71655,0.590776102588183,0.4973806828887535,0.031249999999999997,0.1875,0.49982,0.80266,0.83353,0.5983299849631148,0.5209253481569767,0.03125,0.1875,0.49976,0.79812,0.80393,1.8439456179875509,1.561026006086204,0.03125000000000001,0.1864,0.48426,0.68196,0.43693,0.5441379995098311,0.4637637081215016,0.03125,0.1875,0.5,0.80394,0.78401
9,model_102_Decision_Tree_max_depth_41,3.3680800237254584,2.8458842856785975,0.030290000000000008,0.17062000000000002,0.39138,0.4315,0.19405,4.694174530377752,4.050280235969172,0.0013500000000000068,-0.004439999999999977,-0.002579999999999987,-0.00398,0.00035000000000000027,1.7149065236144403,1.418684292529682,0.031050000000000008,0.1852,0.47030000000000005,0.64318,0.41201,3.0864697299904766,2.5896954498828335,0.029130000000000007,0.16334,0.3543,0.35484,0.13987,2.8274753006361952,2.3896817377193362,0.030370000000000005,0.17176000000000002,0.39336000000000004,0.45744,0.21221,0.8692711112431505,0.7779192682563743,0.03125,0.18736,0.49844,0.7907,0.71975,0.5788151466569994,0.485652367183523,0.031249999999999997,0.1875,0.4998,0.8025,0.83503,0.60375698424442,0.5241121909876314,0.03125,0.1875,0.49964,0.79816,0.80421,1.8536872619766798,1.5757314114541456,0.031210000000000005,0.18652000000000002,0.48344000000000004,0.6805800000000001,0.43737,0.5485261067208611,0.46786533498885485,0.03125,0.1875,0.5,0.8035,0.78263
